worker,declaration,answer
A2LV5QYHH24OMY,Make your prices lower please!,Price
A2LV5QYHH24OMY,make things cheaper,Price
A2LV5QYHH24OMY,bigger photos,Images
A312KFQ78WB3A4,make clothes cheaper,Price
A2I3Y0L38HMQLZ,make it faster,Latency
A3MXBLYX2CDGTP,easy to navigate&#44; great pics,Images|Navigation
A2I3Y0L38HMQLZ,FREE SHIPPING!,Delivery
A2LV5QYHH24OMY,I would prefer to see the clothes,MoreFunc
A2I3Y0L38HMQLZ,you r the best!!!,None
A2LV5QYHH24OMY,Gooooooood!,None
A312KFQ78WB3A4,i like the layout,Navigation
A2LV5QYHH24OMY,Free delivery is excellent,Delivery
A2I3Y0L38HMQLZ,It would be nice to be able to find items on the website easier and to also show everything you stock online as well as in your stores.,Navigation|Stock
A2LV5QYHH24OMY,I like your clothes,Products
A2I3Y0L38HMQLZ,easy to use,Navigation
A2LV5QYHH24OMY,See when new stock comes in easily.,Stock|MoreFunc
A2I3Y0L38HMQLZ,size 4,Size
A2LV5QYHH24OMY,it's too rare to be counted.,None
A2LV5QYHH24OMY,price,Price
A2I3Y0L38HMQLZ,its perfect,None
A2LV5QYHH24OMY,If you what to improve&#44; make thing alot cheaper,Price
A2I3Y0L38HMQLZ,the trouble is that I can't actually use it because I live in Russia and you don't deliver clothes there!,Delivery
A2LV5QYHH24OMY,CHEAPER CHEAPER,Price
A2LV5QYHH24OMY,CHEAPER PRICES,Price
A2LV5QYHH24OMY,Cant get all items on one page,Navigation
A1KYGP10BH4FXU,make it cheaper!!,Price
AVX3SWFMBEPMZ,more petite clothes&#44; i'm 4ft 8 and even the petite are knee length for me&#44; and don't get me wrong knee lenth is fab for a family party,Size
A34M93NJC830DP,its good,None
A1KYGP10BH4FXU,have more party/skater dresses,Range
A2I3Y0L38HMQLZ,cheaper,Price
A2LV5QYHH24OMY,You need to have bigger size clothes,Size
A312KFQ78WB3A4,its too expensive,Price
A2I3Y0L38HMQLZ,Fantastic checkout process,Navigation
A1KYGP10BH4FXU,more sale items,Price
A2LV5QYHH24OMY,AMAZING,None
A312KFQ78WB3A4,have more smaller sizes,Size
A2LV5QYHH24OMY,i think you should do a section where you can see what the item goes with to make it easier for people to buy a complete outfit rather than just one item :) x,MoreFunc
A2LV5QYHH24OMY,It's great!,None
A2I3Y0L38HMQLZ,Be cheaper.,Price
A312KFQ78WB3A4,lower prices,Price
A2I3Y0L38HMQLZ,delivering to all other destinations except one EU member - SLOVENIA is ???,Delivery
A2LV5QYHH24OMY,cheaper prices x,Price
A2LV5QYHH24OMY,I like the layout and it is easy to navigate :) no changes needed.,Navigation
A2LV5QYHH24OMY,nothing,None
A2I3Y0L38HMQLZ,make the prices cheaper in order to bring in more customers !!!,Price
A2LV5QYHH24OMY,u can improve on the page is that its very slow,Latency
A2LV5QYHH24OMY,I like the simple design and the fact it is easy to get around,Navigation
A2LV5QYHH24OMY,Make your prices lower please!,Price
A2I3Y0L38HMQLZ,luv it sooo much,None
A2LV5QYHH24OMY,Free shipping to Canada on july first(Canada day)!,Delivery
A2I3Y0L38HMQLZ,a wishlist feature would be good to keep track of items you would like,MoreFunc
A2LV5QYHH24OMY,price,Price
A2I3Y0L38HMQLZ,Loveeeee.,None
A2LV5QYHH24OMY,Nothing.,None
A2LV5QYHH24OMY,PRICES,Price
A2QN0EGBRGJU1M,make your prices cheaper:-),Price
A2I3Y0L38HMQLZ,a currency converter,MoreFunc
A2I3Y0L38HMQLZ,cheaper,Price
A2I3Y0L38HMQLZ,make stuff cheaper,Price
AVX3SWFMBEPMZ,be cheaper!,Price
A312KFQ78WB3A4,I love how you've started putting images of people wearing your items of clothing&#44; it really helps to get a better idea of how the item looks and how it sits on your body,Images
A1KYGP10BH4FXU,i dont know,None
A2BWMYV8JU7RO4,More younger looking styles for teenagers who still havent gone on to that older look.,Range
A2I3Y0L38HMQLZ,Send to email option.,MoreFunc
A1KYGP10BH4FXU,Just came across it...b,None
A2LV5QYHH24OMY,like the overall layout of the site.,Navigation
A2LV5QYHH24OMY,Allow us to save items for at least a couple of weeks,MoreFunc
A2I3Y0L38HMQLZ,easy to use,Navigation
A1KYGP10BH4FXU,and buy something that looks the same is the same material and its cheaper than your prices,None
A2LV5QYHH24OMY,I was just about to log out!,None
A2LV5QYHH24OMY,The prices are a bit too high,Price
A3E157ZN8XPUKJ,very good,None
A2I3Y0L38HMQLZ,cheaper items,Price
A2LV5QYHH24OMY,Price,Price
A312KFQ78WB3A4,too expensive,Price
A15MK127K9F2DZ,it's good,None
A2LV5QYHH24OMY,nothing,None
A312KFQ78WB3A4,do a next day delivery,Delivery
A2I3Y0L38HMQLZ,Terrible site - really hard to find anything.,Navigation
A2LV5QYHH24OMY,Like the clear lay out- would like to be able to find some of the outfits advertised on the posters,Navigation
A2LV5QYHH24OMY,NOTHING.,None
A2LV5QYHH24OMY,easy to navigate,Navigation
A2LV5QYHH24OMY,Thank you,None
A312KFQ78WB3A4,I love everything!,None
A2LV5QYHH24OMY,You should put a link to the mens site,MoreFunc
AVX3SWFMBEPMZ,lower your prices!,Price
A2LV5QYHH24OMY,It's the first I visit your site so !,None
A2LV5QYHH24OMY,great,None
A312KFQ78WB3A4,add more colour to the home page as it is not very eye catching and attractive and i would like to see a plus size rage as i love the clothes,Size|Navigation
A2I3Y0L38HMQLZ,reduce post and packing charges,Delivery
A2LV5QYHH24OMY,better sale prices,Price
A2QN0EGBRGJU1M,Very easy to use,MoreFunc
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,Horrible.,None
A2I3Y0L38HMQLZ,easy to use,Navigation
A2LV5QYHH24OMY,Its cool,None
A2I3Y0L38HMQLZ,Please lower your prices or at least slash the price of the black Jonis by half thanks ily,Price
A2LV5QYHH24OMY,cheaper prices x,Price
A1KYGP10BH4FXU,the price,Price
A2LV5QYHH24OMY,PRICES,Price
A2LV5QYHH24OMY,Free Delivery or Delivery cut down,Delivery
A2LV5QYHH24OMY,Also make your stuff a little cheaper&#44; I mean its nice,Price|Products
A2LV5QYHH24OMY,Colours are good&#44;,Navigation
A2I3Y0L38HMQLZ,Test - where does this feedback go?,None
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,CHEAPER CHEAPER,Price
A2LV5QYHH24OMY,An app to show whether an item will be re-stocked after being sold out and possibly when would be fab!,Stock|MoreFunc
A2LV5QYHH24OMY,opening times?,MoreFunc
A2LV5QYHH24OMY,Like the photography.,Images
A2LV5QYHH24OMY,easy to find what im looking for :),Navigation
A312KFQ78WB3A4,the prices,Price
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,I like it.,None
A312KFQ78WB3A4,site is very slow!,Latency
A2LV5QYHH24OMY,i mean i know its your shop and your prices,Price
A2LV5QYHH24OMY,I LOVE that you guys have a petite section,Range
A34M93NJC830DP,go away,None
A2LV5QYHH24OMY,I DONT SPEAK ENGLISH,None
A2QN0EGBRGJU1M,Everything is so informative and easy to understand- simple and to the point.,Navigation
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,its great!,None
A2I3Y0L38HMQLZ,I like the different types of bags,Range
A2QN0EGBRGJU1M,i like the layout and it's very easy to find things.,Navigation
A2I3Y0L38HMQLZ,MAKE IT CHEAPER,Price
A2I3Y0L38HMQLZ,make it cheaper,Price
A2I3Y0L38HMQLZ,i like the clothes,Products
AVX3SWFMBEPMZ,But if I was able to find out if my particular size was available in one of the stores in my area it would be great,Size|Stock
A2LV5QYHH24OMY,good.,None
A2LV5QYHH24OMY,we have an endless winter in the uk and you have no nice ankle boots you are supposed to be a good shop,Range
A312KFQ78WB3A4,cheaper products,Price
A2LV5QYHH24OMY,make everything a lot cheaper forever,Price
A2LV5QYHH24OMY,great,None
A2I3Y0L38HMQLZ,make every think cheaper,Price
A1KYGP10BH4FXU,i like the denim clothing and the jeans the most,None
A2I3Y0L38HMQLZ,stop having things popping up asking me for my opinion and stopping me from doing what I actually want to do.,Navigation
A2LV5QYHH24OMY,love ur dresses just out of my budget by the tinyist bit.,Price|Products
A2LV5QYHH24OMY,go away.,None
A2LV5QYHH24OMY,make ur clothes more affordable,Price
A2I3Y0L38HMQLZ,make it cheaper,Price
A2LV5QYHH24OMY,nothing,None
A312KFQ78WB3A4,qa1qwq,None
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,will say it again&#44; i cant click on an item to view/buy it!,Latency
A2LV5QYHH24OMY,Bit frustrating how it freezes?,Latency
A312KFQ78WB3A4,love it,None
A2I3Y0L38HMQLZ,Cheaper satchels,Price
A1KYGP10BH4FXU,faster,MoreFunc
A2I3Y0L38HMQLZ,The sales people are proud and rude&#44; also the items are too overpriced.,Price
A2QN0EGBRGJU1M,considering your mothersday floiwers is2 years out of date i need say no more,None
A2LV5QYHH24OMY,Currently on my BB,None
A312KFQ78WB3A4,i like how its set out because it makes it easy to use&#44; and i dont have anything you can improve on.,Navigation
A2LV5QYHH24OMY,Want to see the clothes on models!,Images|MoreFunc
A2I3Y0L38HMQLZ,Never mind been pregnant again and not having any clothes that fit,None
A34M93NJC830DP,go away,None
A2I3Y0L38HMQLZ,wonderful,None
A312KFQ78WB3A4,That it's organized and updated.,Navigation
A1KYGP10BH4FXU,I liked the easy links to items that would go with what I was looking at - they resulted in my adding other items which I wouldn't have looked at.,Navigation
A2LV5QYHH24OMY,Very easy to use.,Navigation
A1KYGP10BH4FXU,Good site.,Navigation
A2BWMYV8JU7RO4,I think that you shoul make your items cheaper,Price
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,At the moment I am unable to purchase anything as the sire seems to be down!!!!,Latency
A2LV5QYHH24OMY,you should chceck that Slovakia has euro :),MoreFunc
A2LV5QYHH24OMY,It's very easy to navigate and I really like the clothing!,Products|Navigation
A312KFQ78WB3A4,lower your prices,Price
A2I3Y0L38HMQLZ,it´s great,None
A2LV5QYHH24OMY,lower price,Price
A312KFQ78WB3A4,get more boots with heels and a wool top,Range
A2LV5QYHH24OMY,Lower your prices y'all&#44; you hear me,Price
A2LV5QYHH24OMY,Perfect,None
A2LV5QYHH24OMY,free postage,Delivery
A2LV5QYHH24OMY,lower prices please so i can afford you,Price
A2LV5QYHH24OMY,The clarity of the video,Navigation
A2LV5QYHH24OMY,Make the prices more reasonable.,Price
A312KFQ78WB3A4,make your clothes cheaper,Price
A2I3Y0L38HMQLZ,Have products in stock.,Stock
A2LV5QYHH24OMY,should have written reviews below each item,MoreFunc
A2I3Y0L38HMQLZ,take gift cards on line,MoreFunc
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,I want to order a delivery in Wilmslow on Monday morning&#44;  April 8th,Delivery
A312KFQ78WB3A4,The variety of choice is fab and the price is reasonable...,Price|Range
A1KYGP10BH4FXU,perfect!,Navigation
A2LV5QYHH24OMY,I love the layout of the site and find the new purchasing process very quick and useful.,Navigation
A2I3Y0L38HMQLZ,just design more sandal&#44; plz.......,Range
A2I3Y0L38HMQLZ,amazing!!!!!!!!!!!!,None
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,I wouldn't change a thing.,None
A2LV5QYHH24OMY,I really like the new shopping bag layout.,Navigation
A2I3Y0L38HMQLZ,put your in-store terms and conitions on the site,MoreFunc
A312KFQ78WB3A4,Lower your prices,Price
A312KFQ78WB3A4,I think it's one of the best clothing websites as it's well laid out and it's easy to navigate around the website,Navigation
A2I3Y0L38HMQLZ,conection,None
A312KFQ78WB3A4,too expensive,Price
AVX3SWFMBEPMZ,free store delivery,Delivery
A2LV5QYHH24OMY,Nothing - it's easy to navigate around.,Navigation
A312KFQ78WB3A4,too expensive,Price
A2LV5QYHH24OMY,more clothes!,Range
A2LV5QYHH24OMY,It's great!,None
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,make the prices cheaper,Price
A2LV5QYHH24OMY,I love everything,None
A2LV5QYHH24OMY,The clarity of the video,Navigation
A2LV5QYHH24OMY,it's okay,None
A312KFQ78WB3A4,lower prices,Price
A312KFQ78WB3A4,i like everything,None
A2LV5QYHH24OMY,The lookbook is not as functional as it has been previously,Navigation
A2LV5QYHH24OMY,i love this site,Navigation
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,be cheaper,Price
A34M93NJC830DP,its good,None
A2LV5QYHH24OMY,cheaper prices,Price
A2I3Y0L38HMQLZ,too expensive.,Price
A2LV5QYHH24OMY,Make more things for size 4&#44; or get teenage sizes for girls.,Size
A2I3Y0L38HMQLZ,to slow,Latency
A312KFQ78WB3A4,cheap and cool clothes ;),Price|Products
A2I3Y0L38HMQLZ,shipping to chile !!!,Delivery
A2QN0EGBRGJU1M,I would like to be able to change my currency to European,MoreFunc
A2LV5QYHH24OMY,frhgf,None
A2I3Y0L38HMQLZ,make stuff cheaper,Price
A2I3Y0L38HMQLZ,Then you have to scroll through them all to where you got up to.,Navigation
A2LV5QYHH24OMY,great,None
A1KYGP10BH4FXU,your prices are to high,Price
A2LV5QYHH24OMY,it is too slow and freezes my computer alot.,Latency
A2LV5QYHH24OMY,Love everything!,None
A2LV5QYHH24OMY,prices are a million percent too expensive.,Price
A312KFQ78WB3A4,Make the prices much more cheaper if you buy online.,Price
A2LV5QYHH24OMY,ship to the united states!,Delivery
A2QN0EGBRGJU1M,load faster,Latency
A2LV5QYHH24OMY,great,None
A2LV5QYHH24OMY,I love that it's very easy and simple to use.,Navigation
A1KYGP10BH4FXU,good site.,None
A312KFQ78WB3A4,thank you,None
A2I3Y0L38HMQLZ,?? ???,None
A2LV5QYHH24OMY,Coool stuff,Products
A15MK127K9F2DZ,it's great,None
A2LV5QYHH24OMY,the navi zip hoody is only in size 6 and i'd like to order one in size 10,Size
A2LV5QYHH24OMY,When an item comes in several colours&#44; show one image and have a drop down menu to select the colour you want.,Images|MoreFunc
A15MK127K9F2DZ,Cheaper prices,Price
A312KFQ78WB3A4,Thanks.,None
A2LV5QYHH24OMY,good!,None
A2I3Y0L38HMQLZ,make stuff cheaper,Price
A2I3Y0L38HMQLZ,make it faster,Latency
A2LV5QYHH24OMY,The layout!,Navigation
A2I3Y0L38HMQLZ,i like the clothes,Products
A2I3Y0L38HMQLZ,It was very straightforward and easy to use.,Navigation
A2LV5QYHH24OMY,Be able to check stock availability in South African shops,Stock|MoreFunc
AVX3SWFMBEPMZ,phone number for customer service contact,MoreFunc
A2LV5QYHH24OMY,Be able to select several boxes instead of just one when narrowing your search,MoreFunc
A2LV5QYHH24OMY,deliver to usa,Delivery
A312KFQ78WB3A4,may be not.,None
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,I wish the pictures were a little bigger--b,Images
A2LV5QYHH24OMY,excellent,None
A2I3Y0L38HMQLZ,This is my first time to the site.,None
A2LV5QYHH24OMY,BE CHEAPER,Price
A2I3Y0L38HMQLZ,far too expensive,Price
A2LV5QYHH24OMY,could you please make the prices cheaper,Price
A2LV5QYHH24OMY,Lower the prices,Price
A2LV5QYHH24OMY,YOUR WEBSITE IS SLOW,Latency
A2LV5QYHH24OMY,The search function could be more accurate though,Navigation
A2LV5QYHH24OMY,Try to have a little more stock of sale items?!,Stock
A2I3Y0L38HMQLZ,prices too high,Price
A2LV5QYHH24OMY,cheaper shipping,Delivery
A2LV5QYHH24OMY,I LIKE THE CLOTHES THEYRE PRETTY,Products
A2LV5QYHH24OMY,be cheaper,Price
A2LV5QYHH24OMY,more offers,None
A2LV5QYHH24OMY,cheaper clothes,Price
A2BWMYV8JU7RO4,I like the choice,None
A2I3Y0L38HMQLZ,cheaper,Price
A312KFQ78WB3A4,lower your prices,Price
A312KFQ78WB3A4,Your site is great.,None
A2LV5QYHH24OMY,So&#44; more maternity wear would be great - most particularly underwear (bras) for bigger boobs&#44; more choice of jeans (ie bootcut/boyfriend) and more everyday maternity wear,Range
A2QN0EGBRGJU1M,is there a girls range on converse etc??,Range
A2I3Y0L38HMQLZ,Make delivery free after maybe 70?,Delivery
A2LV5QYHH24OMY,All in all&#44; fantasic layout and i love your clothes,Products|Navigation
A2I3Y0L38HMQLZ,Show items priced in the currency of the shipping country,MoreFunc
A2LV5QYHH24OMY,I love it,None
A2I3Y0L38HMQLZ,get nicer shoes,Range
A312KFQ78WB3A4,too expensive,Price
A2BWMYV8JU7RO4,I love the layout&#44; its very easy to understand,Navigation
A2LV5QYHH24OMY,perfect,None
A1KYGP10BH4FXU,The price,Price
A1KYGP10BH4FXU,free shipping on all orders,Delivery
A2I3Y0L38HMQLZ,Very easy to use and layout is very good,Navigation
A2LV5QYHH24OMY,make the pictures bigger,Images
A2I3Y0L38HMQLZ,i am new here,None
A3SWVCOJPJM7KQ,it's not loading smoothly & swiftly,Latency
A2LV5QYHH24OMY,Thank you.,None
A2I3Y0L38HMQLZ,u need 2 bring out new colers in shoes for spring and with the kids ralf laren shoes ther all boyish ones so u could get some girls ones everything elce is good i love offic its me fav shoes shop,Range
A2LV5QYHH24OMY,I like the layout,Navigation
A2I3Y0L38HMQLZ,it's very good,None
A2LV5QYHH24OMY,I like the layout,Navigation
A2LV5QYHH24OMY,I have been waiting 15 minutes for my password reset to come through - it's putting me off confirming my order,MoreFunc
A1KYGP10BH4FXU,A bigger tall range,Range|Size
A2LV5QYHH24OMY,thanks,None
A2LV5QYHH24OMY,deliver to jersey,Delivery
A2LV5QYHH24OMY,You should tell your guest how to collocate,None
A2LV5QYHH24OMY,lower the prices,Price
A2LV5QYHH24OMY,nothing every things fine,None
A2LV5QYHH24OMY,make things cheaper,Price
A2LV5QYHH24OMY,not much at all on the petite section and instore there is never a lot in either&#44; i would really like this to be bigger thank you.,Range
A2LV5QYHH24OMY,When an item comes in several colours&#44; show one image and have a drop down menu to select the colour you want.,Images|MoreFunc
A2LV5QYHH24OMY,what cup size is 12?,Size
A312KFQ78WB3A4,the prices,Price
A312KFQ78WB3A4,Lower your prices,Price
A34M93NJC830DP,nice layout,Navigation
A2LV5QYHH24OMY,Also love the app on the i phone- fact you can check in store makes it even better!,Navigation
A2I3Y0L38HMQLZ,I can't afford anything :(,Price
A2LV5QYHH24OMY,Keep up the good work!,None
A2LV5QYHH24OMY,I like the layout,Navigation
A2QN0EGBRGJU1M,make the font bigger,Navigation
A2LV5QYHH24OMY,Be less expensive,Price
A2LV5QYHH24OMY,CHEAPER PRICES,Price
A2LV5QYHH24OMY,It would be great to be able to see how much each item is in NZD,MoreFunc
A2LV5QYHH24OMY,You Could Add More Of The Same Products So That It Doesn't Go Out Of Stock Very Quickly.,Stock
A34M93NJC830DP,i like it,None
A2I3Y0L38HMQLZ,delivery charges.,Delivery
A2LV5QYHH24OMY,fantastic,None
A34M93NJC830DP,Den er flot og meget stil ren.,None
A2QN0EGBRGJU1M,lower postage fee's.,Delivery
A312KFQ78WB3A4,cheap and cool clothes ;),Price|Products
A2LV5QYHH24OMY,perfect,None
A2LV5QYHH24OMY,have better clothes,Products
A2LV5QYHH24OMY,It its well designed!,Navigation
A2I3Y0L38HMQLZ,site too slow,Latency
A2LV5QYHH24OMY,reduce your prices,Price
A312KFQ78WB3A4,free delivery,Delivery
A1KYGP10BH4FXU,you should keep up to date with fashion and diffrent types of designs on diffrent types of clothing&#44; you are one of the best shops that have nice products accesorises and clothing   thankyou!,Navigation
A312KFQ78WB3A4,make your clothes cheaper,Price
A2LV5QYHH24OMY,cheaper clothes,Price
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,Easy to use,Navigation
A2I3Y0L38HMQLZ,you need to have more sizes of preferably 8's :),Size|Stock
A2LV5QYHH24OMY,paypal?,MoreFunc
A2LV5QYHH24OMY,delivery charges are too high!,Delivery
A2I3Y0L38HMQLZ,Bring back the 'as seen on'...,MoreFunc
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,Lower the prices,Price
A312KFQ78WB3A4,all good,None
A2LV5QYHH24OMY,delivery costs,Delivery
A2I3Y0L38HMQLZ,I would like more ideas about what other items match with an item I am looking at e.g.,MoreFunc
A1KYGP10BH4FXU,everything's top notch :D thank you!!,None
A2LV5QYHH24OMY,I like literally everything,None
A2LV5QYHH24OMY,its a great site,Navigation
A2LV5QYHH24OMY,make the prices cheaper,Price
A2LV5QYHH24OMY,more bikini separates,Range
A2I3Y0L38HMQLZ,I love it!,None
A3E157ZN8XPUKJ,very good,None
A2LV5QYHH24OMY,stop throwing up pop ups every time i arrive on your site...,Navigation
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,Show more pictures of the clothes on models so the customer can get a better idea of what it looks like when worn&#44; and lower your prices.,Images|MoreFunc
A34M93NJC830DP,its good,None
A2LV5QYHH24OMY,I like lots of results&#44;,Navigation
A34M93NJC830DP,go away,None
A3SWVCOJPJM7KQ,Lower the prices.,Price
A2I3Y0L38HMQLZ,easy to use,Navigation
A312KFQ78WB3A4,prices,Price
A2LV5QYHH24OMY,take that ad off with the stupid woman throwing peas.its  a turn off.,Navigation
A2I3Y0L38HMQLZ,I would like all the clothes to have pictures of women wearing the clothes,None
A2LV5QYHH24OMY,show AU $ when shipping to Australia is selected,MoreFunc
A2I3Y0L38HMQLZ,Lower Prices,Price
A312KFQ78WB3A4,i love the site.,None
A1K9WP8Q74E9G2,CHEAPER CLOTHES,Price
A312KFQ78WB3A4,thanyou from hythe southampton..,None
A2QN0EGBRGJU1M,get more kids footwear,Range
A2I3Y0L38HMQLZ,Automatically correct currency when country is chosen.,MoreFunc
A2LV5QYHH24OMY,JOPJLÇKJ,None
A312KFQ78WB3A4,brilliant,None
A2LV5QYHH24OMY,price,Price
A1KYGP10BH4FXU,You need to fix your online website.,Latency
A2LV5QYHH24OMY,nice clean site ..,Navigation
A2LV5QYHH24OMY,providing australia dollar values,MoreFunc
A312KFQ78WB3A4,Free delivery,Delivery
A1KYGP10BH4FXU,price.,Price
A2LV5QYHH24OMY,The clothes are wonderful!,Products
A2LV5QYHH24OMY,like the lay out its easy to follow,Navigation
A312KFQ78WB3A4,More giveaways or try to connect to fashion bloggers!,MoreFunc
A2LV5QYHH24OMY,Nothing,None
A2LV5QYHH24OMY,to expensive,Price
A2LV5QYHH24OMY,have a saved items section,MoreFunc
A2LV5QYHH24OMY,its ok,None
A2LV5QYHH24OMY,i like your site!,Navigation
A2LV5QYHH24OMY,nothing.,None
A2LV5QYHH24OMY,REALLY SLOWWWW,Latency
A2LV5QYHH24OMY,brilliant!,None
A2LV5QYHH24OMY,price,Price
A312KFQ78WB3A4,Cheaper clothes please and thank you :),Price
A34M93NJC830DP,delivery of ordered gods,Delivery
A2I3Y0L38HMQLZ,cheaper prices!!,Price
A312KFQ78WB3A4,Lower your prices,Price
A2LV5QYHH24OMY,cheaper prices please,Price
A2I3Y0L38HMQLZ,free deivery,Delivery
A1KYGP10BH4FXU,sooo slow and doesnt load grrr!!!!!!,Latency
A2I3Y0L38HMQLZ,Make it more colourful :),Navigation
A1KYGP10BH4FXU,Model view,Images
A2I3Y0L38HMQLZ,whe u go back maybe on  a top that i like,None
A2LV5QYHH24OMY,Easy to use,Navigation
A312KFQ78WB3A4,bolder writing,Navigation
A2LV5QYHH24OMY,more clothes!,Range
A312KFQ78WB3A4,i love it,None
A2I3Y0L38HMQLZ,It would be useful to search shape e.g.,MoreFunc
A312KFQ78WB3A4,its really good,None
A2I3Y0L38HMQLZ,get some more interesting tops and you will be fjne- gtreat sight!!!!!!!!!!,Range|Navigation
A2LV5QYHH24OMY,bhuho,None
A2LV5QYHH24OMY,cheaper prices,Price
A1KYGP10BH4FXU,very easy to navigate and easy to see all options,Navigation
A2LV5QYHH24OMY,SIZES NEED TO BE IN STOCK,Stock
A2LV5QYHH24OMY,cheaper clothes,Price
A1KYGP10BH4FXU,norway,None
A2I3Y0L38HMQLZ,like everything no need for change,None
A2LV5QYHH24OMY,Ability to read the reviews!,MoreFunc
A2LV5QYHH24OMY,free clothes,None
A2I3Y0L38HMQLZ,it is just great!!,None
A1KYGP10BH4FXU,do more sizes above 16,Size
A2LV5QYHH24OMY,lower the prices,Price
A2LV5QYHH24OMY,overall is great!,None
A2I3Y0L38HMQLZ,Give out free things,Price
A2I3Y0L38HMQLZ,you should show a look or how to wear /wear with when u select item of clothing..,MoreFunc
A1KYGP10BH4FXU,get more sizes in stock :)!!!,Size
A2LV5QYHH24OMY,NOTHING,None
A1KYGP10BH4FXU,make the deilvery cheaper please,Delivery
A2I3Y0L38HMQLZ,the layout is nice,Navigation
A2I3Y0L38HMQLZ,make the clothes cheaper i cant afford anything lol,Price
A2LV5QYHH24OMY,Bring back the 'wear with' column next to items as it helps pick out an entire outfit.,MoreFunc
A2LV5QYHH24OMY,is it possible to have free shipping to Australia,Delivery
A2LV5QYHH24OMY,uglyass dress!!!!!,Products
A312KFQ78WB3A4,free delivery,Delivery
A312KFQ78WB3A4,V good.,None
A2LV5QYHH24OMY,i think it is very easy to use no improovements are needed imo :),Navigation
A2BWMYV8JU7RO4,pictures of clothes on models to see how they properly fit,Images
A1KYGP10BH4FXU,well organised,Navigation
A2I3Y0L38HMQLZ,easy to use&#44; selection process is a little slow.,Latency|Navigation
A312KFQ78WB3A4,I think that you should reduce the price of some of the items&#44; as some of them are much too expensive,Price
A2LV5QYHH24OMY,The ballons!,None
A1KYGP10BH4FXU,make prices cheaper,Price
A2I3Y0L38HMQLZ,i dont like out of stock products xD,Stock
A2I3Y0L38HMQLZ,your site is great,None
A2I3Y0L38HMQLZ,Thanks!,None
A312KFQ78WB3A4,I love your site so much it's fast and if there isn't any stock in on the clothes i like in my size then when i come on later my size is back in!,Stock
A1KYGP10BH4FXU,i like how its easy to find clothes that you are looking for,Navigation
A312KFQ78WB3A4,the website in all is set out well&#44; and It Is easy to find your way around,Navigation
A34M93NJC830DP,its good,None
A1KYGP10BH4FXU,The site is great.,None
A2I3Y0L38HMQLZ,MAKE YOUR PETITE RANGE BIGGER MORE OPTIONS!,Range
A2I3Y0L38HMQLZ,make stuff cheaper,Price
A2LV5QYHH24OMY,Great site!,Navigation
A312KFQ78WB3A4,lower prices,Price
A2LV5QYHH24OMY,CHEAPER TO DEARRRRRRRRRRR !,Price
A2I3Y0L38HMQLZ,awesome informative site.,Navigation
A2LV5QYHH24OMY,pretty good range of tall clothes can we have more please.,Range
A2LV5QYHH24OMY,great,None
A2LV5QYHH24OMY,Nothing,None
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,great site,Navigation
A1KYGP10BH4FXU,the price,Price
A2I3Y0L38HMQLZ,I need the measurements,Size
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,lower prices!!,Price
A312KFQ78WB3A4,prices,Price
A2LV5QYHH24OMY,please reduce the price of your clothes!!!,Price
A2I3Y0L38HMQLZ,Make things alot cheaper,Price
A1KYGP10BH4FXU,Have shipping to Singapore,Delivery
A312KFQ78WB3A4,i love it,None
A2LV5QYHH24OMY,online student discount,MoreFunc
A2LV5QYHH24OMY,would be great if It didnt freeze as much...............,Latency
A2I3Y0L38HMQLZ,cheaper prices!!,Price
A2LV5QYHH24OMY,cheaper clothes,Price
A312KFQ78WB3A4,free delivery,Delivery
A2LV5QYHH24OMY,more maxi dresses&#44; and midi dresses for petite,Range|Size
A2LV5QYHH24OMY,cheaper prices,Price
A2I3Y0L38HMQLZ,gorgeous,None
A2LV5QYHH24OMY,currency options,MoreFunc
A2LV5QYHH24OMY,met de duidelijkheid van de site,None
A312KFQ78WB3A4,everything,None
A1KYGP10BH4FXU,wayy too overpriced,Price
A2LV5QYHH24OMY,cheaper clothes,Price
A2LV5QYHH24OMY,price,Price
A312KFQ78WB3A4,Very good!,None
A2LV5QYHH24OMY,Get things in stock..,Stock
A2I3Y0L38HMQLZ,everything is fine!,None
A2I3Y0L38HMQLZ,Have a wishlist,MoreFunc
A1KYGP10BH4FXU,Forgot your password takes too long to come through to email account,None
